"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","engine","param","setting"
0.45,68,343,0.00961915979583824,0.274052478134111,0.0313961255845023,0.0376681887482703,0.0376681887482703,"ranger","max_depth","max_depth=5"
0.5,36,173,0.00485164619440238,0.294797687861272,0.0170340681362725,0.0187598619657884,0.0187598619657884,"ranger","max_depth","max_depth=5"
0.55,17,83,0.00232766840540692,0.228915662650602,0.00634602538410154,0.00725003188186769,0.00725003188186769,"ranger","max_depth","max_depth=5"
0.6,7,34,0.000953502720287173,0.294117647058824,0.00334001336005344,0.00409610622467295,0.00409610622467295,"ranger","max_depth","max_depth=5"
0.65,3,20,0.000560883953110102,0.3,0.00200400801603206,0.00294264880266932,0.00294264880266932,"ranger","max_depth","max_depth=5"
0.7,1,5,0.000140220988277525,0.4,0.000668002672010688,0.00148845495710699,0.00148845495710699,"ranger","max_depth","max_depth=5"
0.05,14754,35658,1,0.0839643277805822,1,1,1,"ranger","mtry","mtry=2"
0.1,11353,27721,0.777413203208256,0.102196890444068,0.94622578490314,0.946225282035567,0.946225282035567,"ranger","mtry","mtry=2"
0.15,7109,17236,0.483369790790285,0.133383615688095,0.767869071476286,0.791675311252681,0.791675311252681,"ranger","mtry","mtry=2"
0.2,2959,9455,0.265157888832801,0.168059227921735,0.530728122912492,0.554953871220095,0.554953871220095,"ranger","mtry","mtry=2"
0.25,1237,4161,0.116691906444557,0.20620043258832,0.286573146292585,0.315403986089989,0.315403986089989,"ranger","mtry","mtry=2"
0.3,627,1592,0.0446463626675641,0.244346733668342,0.129926519706079,0.147568317608118,0.147568317608118,"ranger","mtry","mtry=2"
0.35,363,1108,0.0310729710022996,0.257220216606498,0.095190380761523,0.104717184041174,0.104717184041174,"ranger","mtry","mtry=2"
0.4,208,624,0.0174995793370352,0.274038461538462,0.0571142284569138,0.0684403771006344,0.0684403771006344,"ranger","mtry","mtry=2"
0.45,116,370,0.0103763531325369,0.283783783783784,0.0350701402805611,0.0392689440154403,0.0392689440154403,"ranger","mtry","mtry=2"
0.5,60,198,0.00555275113579,0.272727272727273,0.0180360721442886,0.0196144863593191,0.0196144863593191,"ranger","mtry","mtry=2"
0.55,36,83,0.00232766840540692,0.204819277108434,0.00567802271209085,0.00763261429411642,0.00763261429411642,"ranger","mtry","mtry=2"
0.6,23,45,0.00126198889449773,0.2,0.0030060120240481,0.00430167289394092,0.00430167289394092,"ranger","mtry","mtry=2"
0.65,10,24,0.000673060743732122,0.208333333333333,0.00167000668002672,0.00239256762286891,0.00239256762286891,"ranger","mtry","mtry=2"
0.7,7,17,0.000476751360143586,0.235294117647059,0.00133600534402138,0.00206137687793718,0.00206137687793718,"ranger","mtry","mtry=2"
0.75,3,11,0.000308486174210556,0.363636363636364,0.00133600534402138,0.00206137687793718,0.00206137687793718,"ranger","mtry","mtry=2"
0.8,3,11,0.000308486174210556,0.363636363636364,0.00133600534402138,0.00206137687793718,0.00206137687793718,"ranger","mtry","mtry=2"
0.85,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,0.00170734539197567,"ranger","mtry","mtry=2"
0.05,13988,35529,0.99638229850244,0.0841847504855189,0.998997995991984,0.998880803689541,0.998880803689541,"ranger","mtry","mtry=4"
0.1,11370,27650,0.775422065174715,0.10253164556962,0.94689378757515,0.945393498383066,0.945393498383066,"ranger","mtry","mtry=4"
0.15,8048,18617,0.522098827752538,0.130149863028415,0.809285237140949,0.819310704503623,0.819310704503623,"ranger","mtry","mtry=4"
0.2,4163,10112,0.283582926692467,0.16346914556962,0.552104208416834,0.571836985631271,0.571836985631271,"ranger","mtry","mtry=4"
