"idx","var","lo","hi","width","rel_width","hh","rule"
1050,"earned_by_hh_size",0.183,4.62,4.437,0.96038961038961,"4+","earned_by_hh_size > 0.183 & earned_by_hh_size <= 4.62 & gross_by_hh_size <= 364 & total_deductions_by_hh_size <= 434"
2094,"earned_by_hh_size",0.183,4.62,4.437,0.96038961038961,"4+","earned_by_hh_size > 0.183 & earned_by_hh_size <= 4.62 & total_deductions_by_hh_size <= 434"
42193,"total_deductions_by_hh_size",2,6.5,4.5,0.692307692307692,"1","total_deductions_by_hh_size >= 2 & total_deductions_by_hh_size < 6.5 & utilities >= 80"
43250,"total_deductions_by_hh_size",2,6.5,4.5,0.692307692307692,"1","total_deductions_by_hh_size >= 2 & total_deductions_by_hh_size < 6.5 & utilities >= 50"
60853,"total_deductions_by_hh_size",2,6.5,4.5,0.692307692307692,"1","gross_by_hh_size < 1410 & total_deductions_by_hh_size >= 2 & total_deductions_by_hh_size < 6.5 & unc_rawben_rel_max < 1.4"
26243,"shelter_expenses_by_hh_size",75,79.6,4.59999999999999,0.057788944723618,"4+","gross_by_hh_size >= 106 & shelter_expenses_by_hh_size >= 75 & shelter_expenses_by_hh_size < 79.6"
737,"utilities",30.5,35.5,5,0.140845070422535,"4+","expedited_i <= 0 & HH_size_n <= 5.5 & utilities > 30.5 & utilities <= 35.5"
2817,"earned_by_hh_size",1,6,5,0.833333333333333,"1","earned_by_hh_size >= 1 & earned_by_hh_size < 6 & shelter_expenses_by_hh_size >= 488"
3250,"shelter_expenses_by_hh_size",305,310,5,0.0161290322580645,"4+","rawben_rel_max < 0.856 & shelter_expenses_by_hh_size >= 305 & shelter_expenses_by_hh_size < 310 & utilities >= 462"
3451,"earned_by_hh_size",0.5,5.5,5,0.909090909090909,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 5.5 & homeless <= 0 & rawben_rel_max <= 0.996"
5112,"earned_by_hh_size",0.5,5.5,5,0.909090909090909,"1","earned_by_hh_size > 0.5 & earned_by_hh_size <= 5.5 & rawben_rel_max <= 0.996"
6921,"shelter_expenses_by_hh_size",305,310,5,0.0161290322580645,"4+","shelter_expenses_by_hh_size >= 305 & shelter_expenses_by_hh_size < 310 & utilities >= 462"
7250,"utilities",301,306,5,0.0163398692810458,"4+","utilities >= 301 & utilities < 306"
10496,"utilities",301,306,5,0.0163398692810458,"4+","total_deductions_by_hh_size < 128 & utilities >= 301 & utilities < 306"
