"state","rank","rule","hh","smd_min","smd_max","in_training_smd_range"
"Nevada",60,"medical_deductions >= 111 & months_since_cert_n >= 8 & shelter_expenses_by_hh_size >= 548 & total_deductions_by_hh_size >= 403","2-3",0,0,FALSE
"Nevada",69,"earned_by_hh_size < 1090 & gross_by_hh_size < 1250 & medical_deductions >= 185 & rawben_rel_max >= 0.325","2-3",0,0,FALSE
"Nevada",70,"medical_deductions >= 162 & months_since_cert_n >= 5 & rawben_rel_max >= 0.139 & shelter_expenses_by_hh_size >= 216","2-3",0,0,FALSE
"Nevada",73,"medical_deductions > 165 & rawben_rel_max > 0.998 & shelter_expenses_by_hh_size <= 862 & unc_rawben_rel_max > 1.02","1",0,0,FALSE
"New Hampshire",7,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",135,135,FALSE
"New Hampshire",13,"bbce_state_i >= 1 & medical_deductions > 625 & unc_rawben_rel_max <= 1.24 & unearned_by_hh_size > 288","1",135,135,FALSE
"New Hampshire",23,"elderly_disabled_i >= 1 & medical_deductions > 158 & rawben_rel_max > 0.997 & unc_rawben_rel_max <= 1.03","1",135,135,FALSE
"New Hampshire",31,"medical_deductions >= 173 & shelter_expenses_by_hh_size >= 648 & utilities < 431","2-3",135,135,FALSE
"New Hampshire",50,"medical_deductions > 138 & shelter_expenses_by_hh_size <= 902 & total_deductions_by_hh_size > 520 & unc_rawben_rel_max > 0.13","2-3",135,135,FALSE
"New Hampshire",54,"medical_deductions >= 202 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.2 & unearned_by_hh_size < 1120","1",135,135,FALSE
"New Jersey",4,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",0,0,FALSE
"New Jersey",6,"count_divisible_by_100 < 2 & medical_deductions >= 311 & rawben_rel_max >= 0.804","2-3",0,0,FALSE
"New Jersey",7,"medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities <= 14","1",0,0,FALSE
"New Jersey",9,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",0,0,FALSE
"New Jersey",15,"elderly_disabled_i >= 1 & medical_deductions > 134 & shelter_expenses_by_hh_size > 855 & utilities <= 724","2-3",0,0,FALSE
