"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","unc_rawben_rel_max >=   1.93 & utilities >= 456.00 & utilities < 586.00",105,0.219,0.1402
"1","months_since_cert_n < 24.00 & percent_abawd <  0.50 & unc_rawben_rel_max >=  1.81",1586,0.1015,0.0852
"1","months_since_cert_n >=  21.000 & rawben_rel_max >=   0.968 & shelter_expenses_by_hh_size < 492.000 & unc_rawben_rel_max <   1.810",218,0.0734,0.0418
"1","months_since_cert_n <  24.00 & percent_abawd <   0.50 & shelter_expenses_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.81",516,0.1298,0.0992
"1","months_since_cert_n <  24.00 & percent_abawd <   0.50 & shelter_expenses_by_hh_size >= 810.00 & unc_rawben_rel_max >=   1.81",1070,0.0879,0.0697
"1","unc_rawben_rel_max >=   1.49 & utilities < 681.00",2814,0.0725,0.0619
"1","percent_abawd <   0.50 & unc_rawben_rel_max >=   1.49 & utilities < 681.00",2127,0.0903,0.0768
"1","percent_abawd <    0.50 & shelter_expenses_by_hh_size < 2020.00 & unc_rawben_rel_max >=    1.49 & utilities <  681.00",2072,0.0912,0.0775
"1","percent_abawd <    0.50 & shelter_expenses_by_hh_size >= 2020.00 & unc_rawben_rel_max >=    1.49 & utilities <  681.00",55,0.0545,0.0156
"1","shelter_expenses_by_hh_size < 1170.00 & total_deductions_by_hh_size >=  902.00 & unc_rawben_rel_max >=    1.49 & utilities >=  681.00",106,0.0755,0.0343
"1","elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.972 & utilities < 366.000",1601,0.0824,0.0678
"1","count_divisible_by_100 < 1.00 & unc_rawben_rel_max >= 1.67",2753,0.0683,0.0579
"1","count_divisible_by_100 < 1.00 & elderly_disabled_i >= 1.00 & unc_rawben_rel_max >= 1.67",824,0.2051,0.1744
"1","count_divisible_by_100 >= 1.000 & rawben_rel_max >= 0.480 & rawben_rel_max < 0.968",406,0.069,0.045
"1","count_divisible_by_100 <   1.00 & elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.67 & utilities < 827.00",616,0.2646,0.2254
