"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"count_divisible_by_100 >   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 297.0 & utilities >  30.5","4+","national",114,0.3947,0.2954,125,"buffer"
"count_divisible_by_100 > 1.500 & married > 0.500 & unc_rawben_rel_max > 0.502 & unc_rawben_rel_max <= 0.976","4+","national",36,0.4722,0.2954,126,"buffer"
"months_since_cert_n >=   5.00 & total_deductions_by_hh_size >= 161.00 & unc_rawben_rel_max <   1.03","4+","state",36,0.4722,0.2954,127,"buffer"
"months_since_cert_n <    7.00 & shelter_expenses_by_hh_size >= 1490.00 & total_deductions_by_hh_size >= 1280.00 & unc_rawben_rel_max <    1.15","1","national",117,0.3932,0.2951,128,"buffer"
"expedited_i <=   0.500 & medical_deductions > 140.000 & rawben_rel_max >   0.131 & utilities <= 578.000","2-3","national",285,0.3579,0.2951,129,"buffer"
"elderly_disabled_i >=   1 & shelter_expenses_by_hh_size >= 808 & total_deductions_by_hh_size < 713 & utilities < 505","2-3","national",123,0.3902,0.2946,130,"buffer"
"HH_size_n >   4.500 & rawben_rel_max <=   0.961 & shelter_expenses_by_hh_size > 251.000 & unc_rawben_rel_max >   0.813","4+","national",307,0.355,0.2945,131,"buffer"
"elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size > 181.00 & unc_rawben_rel_max <=   1.09","4+","state",31,0.4839,0.2936,132,"buffer"
"expedited_i >  0.500 & rawben_rel_max <=  0.947 & unc_rawben_rel_max >  0.910 & utilities > 30.500","4+","national",39,0.4615,0.2922,133,"buffer"
"count_divisible_by_100 <   1.00 & elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 755.00 & unc_rawben_rel_max >=   1.51","1","national",468,0.3397,0.2909,134,"buffer"
"count_divisible_by_100 <=  1.500 & months_since_cert_n >  5.500 & rawben_rel_max <=  0.998 & shelter_expenses_by_hh_size > 50.500","4+","state",78,0.4103,0.2907,135,"buffer"
"cat_elig >= 1.000 & HH_size_n >= 6.000 & rawben_rel_max >= 0.655 & rawben_rel_max < 0.949","4+","national",903,0.3256,0.2904,136,"buffer"
"rawben_rel_max >   0.316 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   0.997 & utilities <= 392.000","1","national",324,0.3488,0.2901,137,"buffer"
"count_divisible_by_100 > 0.500 & HH_size_n > 5.500 & unc_rawben_rel_max > 0.417 & unc_rawben_rel_max <= 0.923","4+","national",167,0.3713,0.2896,138,"buffer"
"months_since_cert_n >   5.5 & percent_abawd <=   0.1 & unc_rawben_rel_max <=   1.0 & utilities <= 428.0","4+","state",34,0.4706,0.2896,139,"buffer"
"cat_elig >=   1.00 & medical_deductions >= 123.00 & rawben_rel_max >=   0.15 & utilities < 703.00","2-3","national",462,0.3377,0.2886,140,"buffer"
"HH_size_n >   5.5 & months_since_cert_n >   5.5 & total_deductions_by_hh_size >  29.3 & utilities <= 456.0","4+","national",370,0.3432,0.2885,141,"buffer"
"expedited_i >=  1.000 & total_deductions_by_hh_size >= 11.300 & unc_rawben_rel_max >=  0.455 & unc_rawben_rel_max <  0.945","4+","national",317,0.347,0.2879,142,"buffer"
"expedited_i <=   0.5 & HH_size_n <=  10.0 & months_since_cert_n >   6.5 & shelter_expenses_by_hh_size > 164.0","4+","state",45,0.4444,0.2875,143,"buffer"
"medical_deductions >= 148.000 & rawben_rel_max >=   0.876 & rawben_rel_max <   0.992","1","national",236,0.3559,0.2874,144,"buffer"
"expedited_i >  0.500 & percent_abawd >  0.500 & total_deductions_by_hh_size > 57.200 & unc_rawben_rel_max <=  0.804","1","national",94,0.3936,0.2853,145,"buffer"
"HH_size_n >   4.500 & total_deductions_by_hh_size > 233.000 & unc_rawben_rel_max >   0.336","4+","national",484,0.3326,0.2849,146,"buffer"
"months_since_cert_n <   4.000 & rawben_rel_max >=   0.859 & rawben_rel_max <   0.990 & total_deductions_by_hh_size >= 946.000","1","national",112,0.3839,0.2847,147,"buffer"
"married <    1.00 & total_deductions_by_hh_size >= 1390.00 & unc_rawben_rel_max <    1.13 & utilities <  679.00","1","national",92,0.3913,0.2822,148,"buffer"
"HH_size_n <=   2.500 & medical_deductions > 106.000 & rawben_rel_max >   0.691 & shelter_expenses_by_hh_size <= 392.000","2-3","national",43,0.4419,0.2822,149,"buffer"
"elderly_disabled_i <= 0.500 & HH_size_n > 5.500 & months_since_cert_n > 4.500 & rawben_rel_max <= 0.963","4+","national",829,0.3185,0.2821,150,"buffer"
