"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"months_since_cert_n >  2.500 & unc_rawben_rel_max >  0.459 & utilities > 29.500 & utilities <= 36.000","4+","national","ranger","any_error",41,0.5366,0.362,6,1,36,"core"
"children_i >  0.500 & elderly_disabled_i >  0.500 & unc_rawben_rel_max > -0.447","1","national","ranger","any_error",37,0.5405,0.3573,1,1,37,"core"
"months_since_cert_n >=   7 & total_deductions_by_hh_size >= 218 & total_deductions_by_hh_size < 375 & utilities < 442","4+","national","xgboost","any_error",135,0.4519,0.356,5,5,38,"core"
"medical_deductions > 216.000 & rawben_rel_max >   0.315 & rawben_rel_max <=   0.997 & utilities <= 414.000","1","national","ranger","any_error",143,0.4476,0.3545,5,4,39,"core"
"elderly_disabled_i >   0.5 & expedited_i <=   0.5 & total_deductions_by_hh_size > 539.0 & utilities <= 490.0","2-3","national","ranger","any_error",148,0.4459,0.3545,2,1,40,"core"
"expedited_i <=   0.500 & rawben_rel_max >   0.997 & shelter_expenses_by_hh_size <= 670.000 & unc_rawben_rel_max >   1.520","2-3","national","ranger","any_error",143,0.4476,0.3545,2,1,41,"core"
"months_since_cert_n >=   4.00000 & shelter_expenses_by_hh_size >= 382.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344","1","national","xgboost","any_error",77,0.4805,0.3538,3,3,42,"core"
"cat_elig >   0.5 & elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 494.0 & utilities <=  30.5","1","national","ranger","any_error",400,0.4075,0.352,6,1,43,"core"
"elderly_disabled_i >   0.5 & percent_abawd <=   0.5 & shelter_expenses_by_hh_size <= 842.0 & unc_rawben_rel_max >   1.8","1","national","ranger","any_error",290,0.4172,0.352,4,1,44,"core"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.88 & utilities < 469.00","1","national","xgboost","any_error",254,0.4213,0.3516,3,1,45,"core"
"homeless >=   1 & medical_deductions < 110 & shelter_expenses_by_hh_size >= 852 & utilities < 800","1","national","xgboost","any_error",80,0.475,0.3509,3,3,46,"core"
"shelter_expenses_by_hh_size >= 970.000 & unc_rawben_rel_max <   0.998 & utilities < 505.000","2-3","national","xgboost","any_error",85,0.4706,0.3502,1,1,47,"core"
"elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 922.0 & total_deductions_by_hh_size > 343.0 & utilities <=   8.0","1","national","ranger","any_error",227,0.4229,0.3493,9,2,48,"core"
