"hh_size","rule_id","n_errors_targeted","max_error_jaccard","nearest_rule","mean_error_jaccard","n_near_duplicates"
"1","rule1709",315,0.416,"rule1259",0.085,0
"1","rule6873",75,0.194,"rule660",0.035,0
"1","rule660",97,0.602,"rule4426",0.052,0
"1","rule7602",190,0.555,"rule4765",0.075,0
"1","rule2687",137,0.669,"rule3966",0.059,0
"1","rule7538",47,0.277,"rule7342",0.027,0
"1","rule7786",93,0.63,"rule1797",0.055,0
"1","rule6790",29,0.266,"rule5573",0.021,0
"1","rule1874",69,0.431,"rule15121",0.048,0
"1","rule7241",259,0.885,"rule5867",0.077,1
"1","rule6976",26,0.444,"rule10317",0.013,0
