"state","arm","budget","n_pool","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Colorado","blended",0.1,58286,69,121,803,80,28,0.35,0.1208,0.2218,0,0
"Connecticut","state",0.05,4970,3,12,899,41,14,0.3415,0.1446,0.1084,0,0
"Connecticut","state",0.1,4970,12,15,899,89,36,0.4045,0.1446,0.2923,0,0
"Connecticut","national",0.05,53420,37,67,899,44,15,0.3409,0.1446,0.1343,0,0
"Connecticut","national",0.1,53420,63,128,899,89,36,0.4045,0.1446,0.2903,0,0
"Connecticut","blended",0.05,58321,23,44,899,44,14,0.3182,0.1446,0.121,0,0
"Connecticut","blended",0.1,58321,39,108,899,89,31,0.3483,0.1446,0.2445,0,0
"Delaware","state",0.05,27,0,4,741,0,0,0,0.1363,0,0,0
"Delaware","state",0.1,27,2,9,741,49,9,0.1837,0.1363,0.1149,0,0
"Delaware","national",0.05,53420,17,28,741,37,17,0.4595,0.1363,0.154,0,0
"Delaware","national",0.1,53420,30,64,741,74,27,0.3649,0.1363,0.2434,0,0
"Delaware","blended",0.05,53447,17,13,741,37,17,0.4595,0.1363,0.154,0,0
"Delaware","blended",0.1,53447,29,49,741,74,28,0.3784,0.1363,0.2494,0,0
"District of Columbia","state",0.05,6566,4,8,976,48,28,0.5833,0.2193,0.1344,0,0
"District of Columbia","state",0.1,6566,5,12,976,93,51,0.5484,0.2193,0.225,0,0
"District of Columbia","national",0.05,53420,6,37,976,35,18,0.5143,0.2193,0.0908,0,0
"District of Columbia","national",0.1,53420,14,97,976,97,41,0.4227,0.2193,0.2241,0,0
"District of Columbia","blended",0.05,59932,4,8,976,48,29,0.6042,0.2193,0.1279,0,0
"District of Columbia","blended",0.1,59932,6,21,976,96,51,0.5312,0.2193,0.2119,0,0
"Florida","state",0.05,5073,2,11,898,43,16,0.3721,0.1637,0.1436,6,0
"Florida","state",0.1,5073,7,15,898,88,28,0.3182,0.1637,0.1827,0,0
"Florida","national",0.05,53420,32,67,898,44,19,0.4318,0.1637,0.1468,0,0
"Florida","national",0.1,53420,63,137,898,89,31,0.3483,0.1637,0.2282,0,0
"Florida","blended",0.05,58441,32,43,898,44,19,0.4318,0.1637,0.1468,0,0
"Florida","blended",0.1,58441,42,108,898,89,31,0.3483,0.1637,0.2282,0,0
"Georgia","state",0.05,13485,5,9,918,39,11,0.2821,0.1895,0.0817,0,0
"Georgia","state",0.1,13485,11,17,918,90,29,0.3222,0.1895,0.2069,0,0
"Georgia","national",0.05,53420,28,42,918,45,24,0.5333,0.1895,0.1143,0,0
"Georgia","national",0.1,53420,60,94,918,91,46,0.5055,0.1895,0.2965,0,0
"Georgia","blended",0.05,66810,6,14,918,45,14,0.3111,0.1895,0.0961,0,0
"Georgia","blended",0.1,66810,14,33,918,91,34,0.3736,0.1895,0.2275,0,0
"Idaho","state",0.05,1906,7,10,936,45,10,0.2222,0.0502,0.1954,2,0
"Idaho","state",0.1,1906,10,14,936,92,14,0.1522,0.0502,0.2594,0,0
"Idaho","national",0.05,53420,40,69,936,46,12,0.2609,0.0502,0.2491,0,0
"Idaho","national",0.1,53420,64,150,936,93,17,0.1828,0.0502,0.4518,0,0
"Idaho","blended",0.05,55321,40,52,936,46,12,0.2609,0.0502,0.2491,0,0
"Idaho","blended",0.1,55321,64,146,936,93,17,0.1828,0.0502,0.4518,0,0
"Illinois","state",0.05,10423,4,9,818,40,13,0.325,0.165,0.0566,0,0
"Illinois","state",0.1,10423,6,18,818,81,23,0.284,0.165,0.1132,0,0
"Illinois","national",0.05,53420,38,77,818,40,15,0.375,0.165,0.1284,0,0
"Illinois","national",0.1,53420,76,120,818,81,31,0.3827,0.165,0.2622,0,0
"Illinois","blended",0.05,63720,12,31,818,40,15,0.375,0.165,0.1129,0,0
"Illinois","blended",0.1,63720,25,90,818,81,26,0.321,0.165,0.1804,0,0
"Indiana","state",0.05,6925,2,8,875,41,13,0.3171,0.144,0.1174,0,0
