"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Oregon","floor05",0.05,60676,634,11,11,823,41,15,0.3659,0.1507,0.1152,0,0
"Oregon","floor05",0.1,60676,634,21,86,823,82,35,0.4268,0.1507,0.3238,0,0
"Pennsylvania","unfiltered",0.05,54802,0,38,60,760,38,15,0.3947,0.1434,0.1405,0,0
"Pennsylvania","unfiltered",0.1,54802,0,63,102,760,76,29,0.3816,0.1434,0.3282,0,0
"Pennsylvania","floor02",0.05,54609,193,37,59,760,38,15,0.3947,0.1434,0.1405,0,0
"Pennsylvania","floor02",0.1,54609,193,63,98,760,76,29,0.3816,0.1434,0.3282,0,0
"Pennsylvania","floor05",0.05,54168,634,37,58,760,38,15,0.3947,0.1434,0.1405,0,0
"Pennsylvania","floor05",0.1,54168,634,62,107,760,76,30,0.3947,0.1434,0.3843,0,0
"Rhode Island","unfiltered",0.05,60787,0,11,23,933,46,20,0.4348,0.1801,0.1155,0,0
"Rhode Island","unfiltered",0.1,60787,0,19,36,933,93,38,0.4086,0.1801,0.2135,0,0
"Rhode Island","floor02",0.05,60593,194,11,23,933,46,20,0.4348,0.1801,0.1155,0,0
"Rhode Island","floor02",0.1,60593,194,19,36,933,93,38,0.4086,0.1801,0.2135,0,0
"Rhode Island","floor05",0.05,60150,637,11,23,933,46,20,0.4348,0.1801,0.1155,0,0
"Rhode Island","floor05",0.1,60150,637,19,36,933,93,38,0.4086,0.1801,0.2135,0,0
"South Carolina","unfiltered",0.05,58040,0,27,33,828,41,11,0.2683,0.1329,0.1343,0,0
"South Carolina","unfiltered",0.1,58040,0,46,81,828,82,25,0.3049,0.1329,0.2732,0,0
"South Carolina","floor02",0.05,57847,193,27,33,828,41,11,0.2683,0.1329,0.1343,0,0
"South Carolina","floor02",0.1,57847,193,46,81,828,82,25,0.3049,0.1329,0.2732,0,0
"South Carolina","floor05",0.05,57403,637,27,33,828,41,11,0.2683,0.1329,0.1343,0,0
"South Carolina","floor05",0.1,57403,637,46,81,828,82,25,0.3049,0.1329,0.2732,0,0
"South Dakota","unfiltered",0.05,53420,0,31,55,590,29,5,0.1724,0.0492,0.2053,0,0
"South Dakota","unfiltered",0.1,53420,0,58,103,590,59,8,0.1356,0.0492,0.2624,0,0
"South Dakota","floor02",0.05,53227,193,33,53,590,29,5,0.1724,0.0492,0.2053,0,0
"South Dakota","floor02",0.1,53227,193,58,103,590,59,8,0.1356,0.0492,0.2624,0,0
"South Dakota","floor05",0.05,52786,634,32,52,590,29,5,0.1724,0.0492,0.2053,0,0
"South Dakota","floor05",0.1,52786,634,59,102,590,59,8,0.1356,0.0492,0.2624,0,0
"Tennessee","unfiltered",0.05,58871,0,24,45,938,46,11,0.2391,0.0991,0.1206,0,0
"Tennessee","unfiltered",0.1,58871,0,41,121,938,93,19,0.2043,0.0991,0.2336,0,0
"Tennessee","floor02",0.05,58678,193,24,42,938,46,11,0.2391,0.0991,0.1206,0,0
"Tennessee","floor02",0.1,58678,193,42,130,938,93,19,0.2043,0.0991,0.2336,0,0
"Tennessee","floor05",0.05,58237,634,24,42,938,46,11,0.2391,0.0991,0.1206,0,0
"Tennessee","floor05",0.1,58237,634,42,128,938,93,19,0.2043,0.0991,0.2336,0,0
"Texas","unfiltered",0.05,55245,0,21,40,832,41,13,0.3171,0.149,0.1043,0,0
"Texas","unfiltered",0.1,55245,0,37,115,832,83,23,0.2771,0.149,0.1844,0,0
"Texas","floor02",0.05,55052,193,19,40,832,41,13,0.3171,0.149,0.1043,0,0
